BASE_YM,SIGNGU_NM,SIGNGU_CD,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE
202309,경기도 파주시,41480,0.11,0.34,0.27,0.12,0.06,0.03,0.06
202309,경기도 평택시,41220,0.1,0.34,0.27,0.13,0.07,0.04,0.06
202309,경기도 포천시,41650,0.13,0.45,0.25,0.1,0.04,0.02,0.02
202309,경기도 하남시,41450,0.09,0.3,0.27,0.13,0.07,0.04,0.1
202309,경기도 화성시,41590,0.08,0.29,0.26,0.13,0.07,0.05,0.1
202309,경상남도 거제시,48310,0.09,0.31,0.28,0.14,0.07,0.04,0.07
202309,경상남도 거창군,48880,0.14,0.4,0.26,0.1,0.05,0.02,0.04
202309,경상남도 고성군,48820,0.14,0.43,0.25,0.1,0.04,0.02,0.03
202309,경상남도 김해시,48250,0.12,0.34,0.28,0.13,0.06,0.03,0.05
202309,경상남도 남해군,48840,0.16,0.46,0.23,0.08,0.04,0.02,0.02
202309,경상남도 밀양시,48270,0.15,0.41,0.25,0.1,0.04,0.02,0.03
202309,경상남도 사천시,48240,0.13,0.37,0.26,0.12,0.05,0.03,0.04
202309,경상남도 산청군,48860,0.12,0.45,0.25,0.09,0.04,0.02,0.03
202309,경상남도 양산시,48330,0.12,0.35,0.27,0.13,0.06,0.03,0.04
202309,경상남도 의령군,48720,0.15,0.44,0.24,0.09,0.04,0.02,0.03
202309,경상남도 진주시,48170,0.13,0.35,0.26,0.12,0.06,0.03,0.05
202309,경상남도 창녕군,48740,0.13,0.44,0.25,0.09,0.04,0.02,0.02
202309,경상남도 창원시 마산합포구,48125,0.14,0.37,0.26,0.11,0.05,0.03,0.04
202309,경상남도 창원시 마산회원구,48127,0.14,0.36,0.26,0.12,0.05,0.03,0.04
202309,경상남도 창원시 성산구,48123,0.08,0.3,0.28,0.14,0.07,0.04,0.09
202309,경상남도 창원시 의창구,48121,0.11,0.36,0.28,0.13,0.06,0.03,0.04
202309,경상남도 창원시 진해구,48129,0.11,0.33,0.27,0.13,0.07,0.04,0.05
202309,경상남도 통영시,48220,0.14,0.38,0.26,0.11,0.05,0.02,0.03
202309,경상남도 하동군,48850,0.15,0.43,0.25,0.09,0.04,0.02,0.03
202309,경상남도 함안군,48730,0.12,0.4,0.27,0.11,0.05,0.02,0.03
202309,경상남도 함양군,48870,0.15,0.43,0.24,0.09,0.04,0.02,0.03
202309,경상남도 합천군,48890,0.15,0.46,0.23,0.08,0.04,0.02,0.03
202309,경상북도 경산시,47290,0.16,0.4,0.25,0.1,0.05,0.02,0.03
202309,경상북도 경주시,47130,0.13,0.4,0.25,0.1,0.05,0.03,0.04
202309,경상북도 고령군,47830,0.13,0.45,0.25,0.1,0.04,0.01,0.02
202309,경상북도 구미시,47190,0.1,0.33,0.28,0.13,0.07,0.04,0.06
202309,경상북도 김천시,47150,0.13,0.37,0.26,0.11,0.05,0.03,0.04
202309,경상북도 문경시,47280,0.16,0.4,0.25,0.1,0.05,0.02,0.03
202309,경상북도 봉화군,47920,0.14,0.45,0.24,0.08,0.04,0.02,0.03
202309,경상북도 상주시,47250,0.14,0.43,0.25,0.09,0.04,0.02,0.03
202309,경상북도 성주군,47840,0.12,0.46,0.26,0.09,0.04,0.02,0.02
202309,경상북도 안동시,47170,0.15,0.37,0.26,0.1,0.05,0.02,0.04
202309,경상북도 영덕군,47770,0.18,0.44,0.22,0.08,0.03,0.02,0.02
202309,경상북도 영양군,47760,0.14,0.44,0.25,0.08,0.04,0.02,0.03
202309,경상북도 영주시,47210,0.15,0.38,0.26,0.1,0.04,0.02,0.04
202309,경상북도 영천시,47230,0.14,0.42,0.26,0.1,0.04,0.02,0.03
202309,경상북도 예천군,47900,0.13,0.38,0.24,0.1,0.06,0.03,0.05
202309,경상북도 울릉군,47940,0.13,0.37,0.27,0.11,0.05,0.03,0.04
202309,경상북도 울진군,47930,0.14,0.39,0.23,0.1,0.05,0.03,0.05
202309,경상북도 의성군,47730,0.16,0.46,0.23,0.08,0.03,0.01,0.02
202309,경상북도 청도군,47820,0.13,0.46,0.25,0.08,0.04,0.02,0.03
202309,경상북도 청송군,47750,0.15,0.42,0.25,0.09,0.04,0.02,0.03
202309,경상북도 칠곡군,47850,0.12,0.37,0.28,0.12,0.06,0.03,0.03
202309,경상북도 포항시 남구,47111,0.12,0.35,0.25,0.12,0.06,0.03,0.06
202309,경상북도 포항시 북구,47113,0.12,0.35,0.26,0.12,0.06,0.03,0.06
202309,광주광역시 광산구,29200,0.13,0.34,0.26,0.12,0.06,0.03,0.05
202309,광주광역시 남구,29155,0.14,0.35,0.25,0.11,0.06,0.03,0.06
202309,광주광역시 동구,29110,0.15,0.37,0.23,0.11,0.05,0.03,0.06
202309,광주광역시 북구,29170,0.14,0.35,0.26,0.11,0.06,0.03,0.05
202309,광주광역시 서구,29140,0.13,0.34,0.26,0.12,0.06,0.03,0.06
202309,대구광역시 군위군,27720,0.13,0.47,0.24,0.08,0.03,0.01,0.02
202309,대구광역시 남구,27200,0.18,0.41,0.24,0.09,0.04,0.02,0.02
202309,대구광역시 달서구,27290,0.14,0.36,0.26,0.12,0.06,0.03,0.04
202309,대구광역시 달성군,27710,0.11,0.35,0.28,0.13,0.07,0.03,0.04
202309,대구광역시 동구,27140,0.15,0.37,0.25,0.11,0.05,0.03,0.04
202309,대구광역시 북구,27230,0.15,0.36,0.26,0.12,0.06,0.03,0.04
202309,대구광역시 서구,27170,0.17,0.43,0.24,0.09,0.03,0.01,0.01
202309,대구광역시 수성구,27260,0.13,0.32,0.23,0.12,0.06,0.04,0.1
202309,대구광역시 중구,27110,0.15,0.36,0.24,0.11,0.06,0.03,0.05
202309,대전광역시 대덕구,30230,0.14,0.37,0.27,0.12,0.05,0.03,0.04
202309,대전광역시 동구,30110,0.2,0.39,0.22,0.09,0.04,0.02,0.03
202309,대전광역시 서구,30170,0.12,0.34,0.26,0.12,0.06,0.03,0.06
202309,대전광역시 유성구,30200,0.11,0.29,0.24,0.13,0.07,0.05,0.1
202309,대전광역시 중구,30140,0.14,0.37,0.26,0.11,0.05,0.03,0.04
202309,부산광역시 강서구,26440,0.08,0.3,0.28,0.14,0.08,0.05,0.08
202309,부산광역시 금정구,26410,0.16,0.39,0.23,0.1,0.05,0.02,0.05
202309,부산광역시 기장군,26710,0.12,0.34,0.27,0.12,0.06,0.03,0.05
202309,부산광역시 남구,26290,0.16,0.37,0.23,0.1,0.05,0.03,0.06
202309,부산광역시 동구,26170,0.18,0.41,0.23,0.1,0.04,0.02,0.03
202309,부산광역시 동래구,26260,0.12,0.35,0.25,0.12,0.06,0.03,0.07
202309,부산광역시 부산진구,26230,0.14,0.39,0.25,0.11,0.05,0.02,0.04
202309,부산광역시 북구,26320,0.14,0.37,0.26,0.11,0.05,0.03,0.04
202309,부산광역시 사상구,26530,0.16,0.39,0.25,0.11,0.04,0.02,0.02
202309,부산광역시 사하구,26380,0.14,0.39,0.26,0.11,0.05,0.02,0.03
202309,부산광역시 서구,26140,0.16,0.4,0.23,0.1,0.05,0.02,0.03
202309,부산광역시 수영구,26500,0.12,0.38,0.25,0.11,0.05,0.03,0.05
202309,부산광역시 연제구,26470,0.13,0.37,0.25,0.11,0.06,0.03,0.06
202309,부산광역시 영도구,26200,0.17,0.43,0.23,0.09,0.04,0.02,0.02
202309,부산광역시 중구,26110,0.18,0.43,0.23,0.09,0.03,0.01,0.02
202309,부산광역시 해운대구,26350,0.12,0.34,0.24,0.12,0.06,0.03,0.08
202309,서울특별시 강남구,11680,0.09,0.28,0.21,0.13,0.07,0.05,0.18
202309,서울특별시 강동구,11740,0.1,0.34,0.26,0.13,0.06,0.04,0.08
202309,서울특별시 강북구,11305,0.14,0.41,0.25,0.1,0.04,0.02,0.03
202309,서울특별시 강서구,11500,0.1,0.34,0.26,0.13,0.06,0.04,0.07
202309,서울특별시 관악구,11620,0.12,0.4,0.26,0.11,0.05,0.02,0.04
202309,서울특별시 광진구,11215,0.13,0.38,0.24,0.11,0.05,0.03,0.06
202309,서울특별시 구로구,11530,0.13,0.39,0.24,0.11,0.05,0.03,0.05
202309,서울특별시 금천구,11545,0.14,0.41,0.25,0.11,0.05,0.02,0.03
202309,서울특별시 노원구,11350,0.13,0.34,0.25,0.12,0.06,0.03,0.06
202309,서울특별시 도봉구,11320,0.13,0.38,0.26,0.11,0.05,0.03,0.04
202309,서울특별시 동대문구,11230,0.16,0.4,0.22,0.1,0.05,0.03,0.05
202309,서울특별시 동작구,11590,0.12,0.35,0.24,0.12,0.06,0.03,0.08
202309,서울특별시 마포구,11440,0.12,0.34,0.23,0.12,0.06,0.04,0.1
202309,서울특별시 서대문구,11410,0.14,0.38,0.22,0.11,0.05,0.03,0.07
202309,서울특별시 서초구,11650,0.08,0.27,0.22,0.13,0.08,0.05,0.18
202309,서울특별시 성동구,11200,0.11,0.35,0.23,0.12,0.06,0.04,0.1
202309,서울특별시 성북구,11290,0.15,0.37,0.23,0.11,0.05,0.03,0.06
202309,서울특별시 송파구,11710,0.09,0.3,0.25,0.13,0.07,0.04,0.12
202309,서울특별시 양천구,11470,0.11,0.32,0.24,0.12,0.06,0.04,0.11
202309,서울특별시 영등포구,11560,0.12,0.38,0.23,0.11,0.06,0.03,0.08
202309,서울특별시 용산구,11170,0.11,0.36,0.22,0.12,0.06,0.04,0.1
202309,서울특별시 은평구,11380,0.12,0.36,0.26,0.12,0.06,0.03,0.05
202309,서울특별시 종로구,11110,0.15,0.39,0.21,0.1,0.05,0.03,0.07
202309,서울특별시 중구,11140,0.15,0.4,0.2,0.1,0.05,0.03,0.06
202309,서울특별시 중랑구,11260,0.12,0.39,0.27,0.11,0.05,0.02,0.03
202309,없음(세종시),36110,0.1,0.26,0.25,0.13,0.08,0.06,0.12
202309,울산광역시 남구,31140,0.1,0.32,0.26,0.13,0.06,0.04,0.09
202309,울산광역시 동구,31170,0.09,0.33,0.27,0.13,0.07,0.04,0.07
202309,울산광역시 북구,31200,0.08,0.28,0.28,0.14,0.08,0.05,0.11
202309,울산광역시 울주군,31710,0.1,0.34,0.27,0.13,0.06,0.04,0.06
202309,울산광역시 중구,31110,0.11,0.33,0.26,0.12,0.06,0.04,0.08
202309,인천광역시 강화군,28710,0.15,0.4,0.26,0.09,0.04,0.02,0.03
202309,인천광역시 계양구,28245,0.12,0.38,0.28,0.12,0.05,0.02,0.03
202309,인천광역시 남동구,28200,0.12,0.36,0.27,0.12,0.06,0.03,0.04
202309,인천광역시 동구,28140,0.16,0.37,0.26,0.11,0.05,0.02,0.03
202309,인천광역시 미추홀구,28177,0.15,0.39,0.25,0.11,0.05,0.02,0.03
202309,인천광역시 부평구,28237,0.12,0.37,0.27,0.12,0.05,0.03,0.04
202309,인천광역시 서구,28260,0.11,0.34,0.27,0.13,0.06,0.03,0.06
202309,인천광역시 연수구,28185,0.11,0.31,0.24,0.13,0.07,0.04,0.1
202309,인천광역시 옹진군,28720,0.13,0.43,0.25,0.09,0.05,0.02,0.03
202309,인천광역시 중구,28110,0.11,0.34,0.27,0.13,0.07,0.03,0.06
202309,전라남도 강진군,46810,0.14,0.45,0.23,0.08,0.04,0.02,0.03
202309,전라남도 고흥군,46770,0.15,0.48,0.23,0.07,0.03,0.02,0.02
202309,전라남도 곡성군,46720,0.14,0.45,0.23,0.08,0.04,0.02,0.03
202309,전라남도 광양시,46230,0.1,0.32,0.28,0.13,0.07,0.04,0.07
202309,전라남도 구례군,46730,0.16,0.41,0.25,0.09,0.04,0.02,0.03
202309,전라남도 나주시,46170,0.12,0.39,0.25,0.11,0.06,0.03,0.05
202309,전라남도 담양군,46710,0.11,0.42,0.26,0.1,0.05,0.02,0.04
202309,전라남도 목포시,46110,0.15,0.37,0.26,0.11,0.05,0.02,0.04
202309,전라남도 무안군,46840,0.14,0.38,0.24,0.11,0.05,0.03,0.05
202309,전라남도 보성군,46780,0.16,0.46,0.23,0.08,0.03,0.02,0.02
202309,전라남도 순천시,46150,0.12,0.33,0.27,0.12,0.06,0.03,0.06
202309,전라남도 신안군,46910,0.13,0.47,0.24,0.08,0.04,0.02,0.02
202309,전라남도 여수시,46130,0.13,0.35,0.25,0.12,0.06,0.03,0.06
202309,전라남도 영광군,46870,0.15,0.41,0.24,0.09,0.04,0.02,0.04
202309,전라남도 영암군,46830,0.1,0.47,0.25,0.1,0.03,0.02,0.03
202309,전라남도 완도군,46890,0.16,0.43,0.24,0.09,0.04,0.02,0.02
202309,전라남도 장성군,46880,0.14,0.43,0.24,0.09,0.04,0.02,0.03
202309,전라남도 장흥군,46800,0.14,0.44,0.24,0.09,0.04,0.02,0.03
202309,전라남도 진도군,46900,0.14,0.46,0.23,0.08,0.04,0.02,0.03
202309,전라남도 함평군,46860,0.15,0.45,0.23,0.08,0.04,0.02,0.03
202309,전라남도 해남군,46820,0.15,0.47,0.23,0.08,0.04,0.02,0.03
202309,전라남도 화순군,46790,0.15,0.41,0.25,0.1,0.05,0.02,0.03
202309,전라북도 고창군,45790,0.14,0.44,0.24,0.08,0.04,0.02,0.03
202309,전라북도 군산시,45130,0.14,0.37,0.25,0.11,0.05,0.03,0.05
202309,전라북도 김제시,45210,0.16,0.43,0.24,0.09,0.04,0.02,0.03
202309,전라북도 남원시,45190,0.15,0.39,0.26,0.1,0.05,0.02,0.03
202309,전라북도 무주군,45730,0.15,0.43,0.24,0.09,0.04,0.02,0.03
202309,전라북도 부안군,45800,0.17,0.43,0.24,0.08,0.03,0.02,0.03
202309,전라북도 순창군,45770,0.14,0.45,0.23,0.09,0.04,0.02,0.03
202309,전라북도 완주군,45710,0.13,0.39,0.26,0.1,0.05,0.03,0.04
202309,전라북도 익산시,45140,0.15,0.38,0.26,0.11,0.05,0.02,0.04
202309,전라북도 임실군,45750,0.15,0.45,0.23,0.08,0.04,0.02,0.03
202309,전라북도 장수군,45740,0.13,0.45,0.25,0.09,0.04,0.02,0.03
202309,전라북도 전주시 덕진구,45113,0.13,0.34,0.25,0.12,0.06,0.03,0.06
202309,전라북도 전주시 완산구,45111,0.14,0.35,0.25,0.11,0.05,0.03,0.06
202309,전라북도 정읍시,45180,0.16,0.4,0.25,0.1,0.04,0.02,0.03
202309,전라북도 진안군,45720,0.14,0.45,0.24,0.09,0.04,0.02,0.03
202309,제주특별자치도 서귀포시,50130,0.12,0.38,0.27,0.11,0.05,0.02,0.04
202309,제주특별자치도 제주시,50110,0.13,0.37,0.27,0.11,0.05,0.03,0.04
202309,충청남도 계룡시,44250,0.09,0.31,0.27,0.13,0.07,0.05,0.09
202309,충청남도 공주시,44150,0.15,0.4,0.25,0.1,0.05,0.02,0.03
202309,충청남도 금산군,44710,0.16,0.42,0.24,0.09,0.04,0.02,0.03
202309,충청남도 논산시,44230,0.14,0.43,0.25,0.1,0.04,0.02,0.03
202309,충청남도 당진시,44270,0.1,0.34,0.27,0.12,0.07,0.04,0.07
202309,충청남도 보령시,44180,0.14,0.4,0.26,0.1,0.05,0.02,0.04
202309,충청남도 부여군,44760,0.15,0.44,0.24,0.08,0.04,0.02,0.03
202309,충청남도 서산시,44210,0.11,0.33,0.27,0.13,0.06,0.03,0.07
202309,충청남도 서천군,44770,0.16,0.44,0.24,0.08,0.04,0.02,0.03
202309,충청남도 아산시,44200,0.11,0.33,0.26,0.13,0.07,0.04,0.07
202309,충청남도 예산군,44810,0.14,0.4,0.25,0.1,0.05,0.02,0.03
202309,충청남도 천안시 동남구,44131,0.14,0.36,0.25,0.11,0.06,0.03,0.04
202309,충청남도 천안시 서북구,44133,0.1,0.32,0.26,0.13,0.07,0.04,0.08
202309,충청남도 청양군,44790,0.13,0.45,0.25,0.08,0.04,0.02,0.03
202309,충청남도 태안군,44825,0.13,0.41,0.26,0.1,0.04,0.02,0.03
202309,충청남도 홍성군,44800,0.13,0.37,0.26,0.11,0.06,0.03,0.04
202309,충청북도 괴산군,43760,0.15,0.44,0.25,0.09,0.04,0.02,0.02
202309,충청북도 단양군,43800,0.15,0.4,0.25,0.1,0.05,0.02,0.03
202309,충청북도 보은군,43720,0.16,0.42,0.24,0.09,0.04,0.02,0.03
202309,충청북도 영동군,43740,0.14,0.41,0.26,0.09,0.04,0.02,0.03
202309,충청북도 옥천군,43730,0.16,0.42,0.25,0.1,0.04,0.02,0.03
202309,충청북도 음성군,43770,0.12,0.42,0.26,0.11,0.05,0.02,0.02
202309,충청북도 제천시,43150,0.14,0.37,0.26,0.11,0.05,0.03,0.04
202309,충청북도 증평군,43745,0.12,0.36,0.28,0.12,0.06,0.03,0.03
202309,충청북도 진천군,43750,0.1,0.37,0.27,0.13,0.06,0.03,0.03
202309,충청북도 청주시 상당구,43111,0.12,0.34,0.27,0.12,0.06,0.03,0.05
202309,충청북도 청주시 서원구,43112,0.13,0.35,0.26,0.12,0.06,0.03,0.05
202309,충청북도 청주시 청원구,43114,0.11,0.33,0.27,0.13,0.07,0.04,0.06
202309,충청북도 청주시 흥덕구,43113,0.1,0.33,0.27,0.13,0.07,0.04,0.07
202309,충청북도 충주시,43130,0.14,0.38,0.26,0.11,0.05,0.03,0.04
